@relation MIXED
@attribute v {False,True}
@attribute w {False,True}
@attribute x real
@attribute y real
@attribute class {p,n}

@data
True,True,0.56588,0.88606,p
False,True,0.25291,0.39323,p
False,True,0.98511,0.09261,p
False,True,0.46221,0.70414,n
True,False,0.22300,0.79261,n
False,True,0.20196,0.44317,p
True,False,0.70392,0.08220,p
False,True,0.90701,0.64077,p
True,False,0.57867,0.41552,n
True,True,0.05361,0.52588,p
False,False,0.81607,0.46224,n
False,False,0.04044,0.51707,n
True,False,0.31071,0.99631,n
True,False,0.40715,0.89599,n
True,False,0.72083,0.82091,n
False,False,0.28031,0.47959,p
True,True,0.99521,0.46081,p
False,True,0.17988,0.40764,n
False,True,0.18524,0.55031,p
True,False,0.02576,0.03316,p
True,False,0.41472,0.27644,p
False,True,0.70085,0.99665,n
False,True,0.77433,0.07321,p
False,True,0.18362,0.38554,n
False,False,0.07406,0.75046,n
False,True,0.22342,0.98887,n
False,False,0.96771,0.26593,n
False,False,0.67922,0.95736,n
False,False,0.13889,0.71721,n
False,True,0.77510,0.71340,p
False,False,0.42149,0.36917,n
False,True,0.41428,0.62125,n
False,False,0.00594,0.56635,n
False,False,0.45189,0.01491,n
False,True,0.80334,0.05610,p
True,True,0.27442,0.30964,p
True,False,0.79877,0.40116,p
False,False,0.37313,0.77692,n
True,True,0.59764,0.16678,n
True,True,0.10161,0.34428,p
True,False,0.93294,0.21787,p
False,True,0.49798,0.52862,n
False,True,0.18135,0.67574,p
True,False,0.22064,0.52796,p
False,True,0.06536,0.63920,p
False,True,0.02038,0.78609,n
True,True,0.33881,0.91063,p
True,False,0.82356,0.41318,p
True,True,0.79299,0.88548,p
True,True,0.76896,0.46297,p
False,False,0.94838,0.76042,n
False,False,0.60013,0.97610,n
False,False,0.69995,0.51327,n
True,False,0.04238,0.64504,n
False,True,0.29337,0.93336,n
False,True,0.40067,0.28539,p
False,True,0.30464,0.13253,p
True,True,0.59726,0.90556,p
False,True,0.81154,0.84298,n
False,True,0.27739,0.30710,p
False,True,0.78173,0.09379,p
True,False,0.29948,0.93980,n
True,False,0.65032,0.81203,p
False,True,0.14808,0.11218,p
False,False,0.71856,0.50870,n
True,True,0.49211,0.58799,p
True,True,0.92873,0.64886,p
True,False,0.28571,0.08469,p
True,True,0.25581,0.97047,p
True,False,0.77362,0.22054,p
True,True,0.15283,0.37455,p
False,False,0.56776,0.00149,n
False,True,0.77886,0.97256,n
False,True,0.16777,0.84420,n
True,False,0.08953,0.74284,n
False,True,0.94489,0.94178,n
True,True,0.92219,0.11619,n
True,True,0.73624,0.76812,p
True,True,0.00733,0.52788,p
False,True,0.37999,0.59873,n
False,True,0.31120,0.79203,p
True,False,0.55344,0.27939,n
True,False,0.52556,0.52113,n
True,False,0.86640,0.69852,p
True,True,0.37577,0.12987,p
True,True,0.17395,0.62559,p
True,False,0.09520,0.91779,n
True,False,0.18542,0.52502,p
True,True,0.99039,0.07563,p
True,False,0.92269,0.88577,n
False,False,0.60656,0.07269,n
False,False,0.72650,0.73165,n
False,False,0.51649,0.13082,p
False,True,0.25606,0.03048,p
False,False,0.27437,0.08958,n
True,True,0.70500,0.82277,p
True,True,0.94199,0.13070,p
True,False,0.02461,0.75769,n
False,False,0.07387,0.13391,n
True,True,0.33540,0.10198,p
False,False,0.00939,0.67035,n
False,False,0.34414,0.17867,n
False,False,0.78596,0.33104,n
True,True,0.96995,0.15641,p
False,False,0.04935,0.08175,n
False,False,0.23246,0.13770,n
False,True,0.60158,0.72795,n
True,False,0.85317,0.63684,p
True,True,0.04704,0.53703,p
False,False,0.92197,0.46846,n
False,False,0.33668,0.21501,n
False,False,0.98933,0.44160,n
False,False,0.76854,0.45265,n
True,True,0.08316,0.27823,p
True,True,0.03302,0.28604,n
