@relation MIXED
@attribute v {False,True}
@attribute w {False,True}
@attribute x real
@attribute y real
@attribute class {p,n}

@data
False,True,0.04709,0.34791,p
True,False,0.23340,0.57392,p
False,False,0.43678,0.25171,n
False,True,0.18231,0.92095,n
False,True,0.83619,0.36710,p
True,True,0.57853,0.67214,p
True,True,0.81381,0.01268,p
True,True,0.49577,0.61101,p
False,False,0.67944,0.82118,n
True,True,0.14132,0.98619,p
True,True,0.50557,0.81940,p
True,False,0.49018,0.30058,p
True,False,0.31605,0.20278,p
False,False,0.85462,0.36205,n
False,False,0.90202,0.38440,p
True,False,0.71619,0.11826,p
False,False,0.25188,0.89186,n
True,False,0.58142,0.45214,n
True,True,0.41350,0.84493,p
True,False,0.55581,0.75272,p
False,False,0.78827,0.65256,n
False,False,0.10567,0.44333,n
True,False,0.36468,0.91634,n
False,False,0.29258,0.52729,n
True,True,0.32855,0.73758,n
False,False,0.52301,0.06510,p
False,False,0.97994,0.21568,n
False,False,0.98839,0.30514,n
False,True,0.64034,0.53717,n
True,True,0.87274,0.05064,p
False,True,0.38254,0.45062,n
True,False,0.69416,0.94592,n
True,False,0.24343,0.80413,n
True,False,0.28868,0.04898,p
True,False,0.49717,0.47915,n
True,False,0.57107,0.77616,n
False,True,0.29093,0.18562,p
False,False,0.72075,0.29161,n
True,False,0.21341,0.03254,p
False,True,0.52785,0.63354,n
False,True,0.96970,0.95360,n
True,True,0.35751,0.51553,p
False,False,0.39896,0.31416,n
True,True,0.10438,0.12295,p
False,True,0.58186,0.18820,p
True,True,0.08157,0.00372,p
True,True,0.71697,0.77893,p
True,False,0.13230,0.41987,p
False,False,0.02194,0.33467,n
False,True,0.71965,0.88624,n
True,False,0.51901,0.03259,p
False,False,0.24543,0.40395,n
True,False,0.33657,0.51208,n
False,False,0.06865,0.28552,n
True,False,0.02092,0.91181,n
True,False,0.52664,0.84714,n
True,False,0.58958,0.76705,n
True,False,0.13885,0.35986,p
True,False,0.48546,0.48746,n
True,False,0.52942,0.84378,n
True,False,0.88457,0.87459,p
False,True,0.63825,0.51882,n
False,False,0.98731,0.31291,n
True,False,0.70080,0.57136,p
False,False,0.06575,0.89956,n
True,True,0.64596,0.40501,p
True,True,0.48128,0.10848,n
False,True,0.21638,0.20918,p
True,True,0.04907,0.64441,p
False,False,0.15573,0.52735,p
True,True,0.50161,0.58068,p
False,True,0.23321,0.87047,n
