@relation MIXED
@attribute v {False,True}
@attribute w {False,True}
@attribute x real
@attribute y real
@attribute class {p,n}

@data
False,True,0.64908,0.95066,n
False,False,0.78065,0.21561,n
True,True,0.27304,0.19110,p
False,False,0.26094,0.13025,n
False,False,0.70656,0.87509,n
False,False,0.55690,0.40753,n
False,True,0.08342,0.08135,p
False,True,0.63489,0.57142,n
False,True,0.19776,0.48975,p
True,True,0.07186,0.00846,p
True,True,0.84864,0.23496,n
False,False,0.96997,0.28753,n
True,True,0.57529,0.70809,p
True,False,0.22272,0.11736,p
False,True,0.65330,0.31893,p
False,True,0.37593,0.35002,p
False,True,0.77282,0.92885,n
False,True,0.20827,0.48597,p
True,True,0.27720,0.63903,p
False,False,0.90117,0.31965,n
True,False,0.55273,0.70994,p
True,True,0.02181,0.78741,p
True,True,0.23526,0.02884,p
False,True,0.06601,0.63000,n
True,True,0.91518,0.16786,p
True,False,0.74802,0.49713,p
False,False,0.42874,0.34903,n
False,False,0.26815,0.93480,n
False,True,0.19311,0.03822,p
True,True,0.21616,0.92129,p
False,False,0.76123,0.29201,p
False,False,0.31016,0.07485,n
False,True,0.05477,0.50150,p
False,True,0.33111,0.88886,n
False,True,0.05606,0.97274,n
True,True,0.06391,0.05282,p
True,False,0.06864,0.65615,p
True,False,0.53237,0.12612,p
False,True,0.84990,0.84825,n
False,False,0.95805,0.33678,n
True,True,0.14551,0.92406,p
True,False,0.74578,0.47576,p
True,True,0.16291,0.85325,p
True,True,0.96163,0.31749,p
False,False,0.68353,0.49778,n
False,True,0.02455,0.89304,n
False,False,0.56033,0.25435,n
True,True,0.90618,0.24747,p
False,True,0.21155,0.01843,p
True,False,0.53411,0.21970,n
False,False,0.47481,0.76708,n
True,True,0.13262,0.72263,p
True,False,0.67868,0.69688,p
True,False,0.60425,0.47353,n
True,False,0.81676,0.81330,n
False,True,0.20930,0.23137,n
False,False,0.56702,0.26449,n
False,True,0.02765,0.49737,p
False,True,0.96439,0.00037,p
True,True,0.85115,0.94011,p
True,False,0.25456,0.48673,p
False,True,0.66493,0.08614,p
False,True,0.14253,0.99556,n
True,True,0.90175,0.10097,p
True,False,0.77284,0.15386,p
False,True,0.47249,0.50944,n
False,True,0.86849,0.64719,p
True,False,0.09324,0.88561,n
False,True,0.02053,0.93990,n
True,False,0.14047,0.69828,p
False,False,0.97788,0.78090,n
True,False,0.46107,0.81361,n
True,False,0.83463,0.54203,p
True,False,0.03103,0.93218,n
False,True,0.14748,0.75406,p
True,True,0.31316,0.23007,p
False,True,0.96249,0.01331,n
False,False,0.64776,0.92981,n
False,False,0.84302,0.61004,n
False,False,0.65161,0.41676,n
True,True,0.03023,0.39354,p
True,False,0.90641,0.42224,p
True,True,0.44335,0.14950,p
True,True,0.49563,0.28773,p
False,False,0.49006,0.60834,n
True,True,0.28993,0.30320,p
False,True,0.30598,0.63182,n
False,False,0.03376,0.78376,n
False,True,0.76083,0.82501,n
False,True,0.70408,0.62451,n
False,True,0.92537,0.33347,p
False,True,0.74193,0.33183,p
True,True,0.27686,0.42439,n
True,True,0.01822,0.73892,p
True,True,0.11108,0.21098,p
True,True,0.23594,0.55772,p
True,True,0.57880,0.01214,p
