@relation MIXED
@attribute v {False,True}
@attribute w {False,True}
@attribute x real
@attribute y real
@attribute class {p,n}

@data
False,True,0.50102,0.49469,p
False,False,0.76413,0.45623,n
False,False,0.28320,0.90800,n
False,False,0.57234,0.64327,n
False,True,0.97882,0.62867,n
False,True,0.65731,0.92989,n
True,True,0.46197,0.46469,p
True,False,0.71995,0.01412,p
True,True,0.62225,0.21241,p
True,False,0.40428,0.18381,p
True,False,0.93415,0.07062,p
False,False,0.95687,0.20720,n
False,True,0.61891,0.74403,n
True,True,0.65129,0.54940,p
False,False,0.90116,0.19959,n
True,True,0.99436,0.69552,n
False,True,0.07159,0.92998,n
True,True,0.99835,0.22531,p
False,False,0.15409,0.93988,n
True,False,0.21500,0.49000,p
True,False,0.27772,0.00074,p
False,False,0.19835,0.62955,n
False,False,0.94706,0.66385,n
False,True,0.24801,0.98788,n
False,True,0.06212,0.64866,p
True,True,0.33917,0.16102,p
True,True,0.61656,0.59752,p
True,True,0.32395,0.89957,p
False,True,0.56997,0.93673,n
True,False,0.04792,0.17649,p
False,False,0.03749,0.86149,n
True,False,0.35711,0.63908,n
False,False,0.25976,0.14414,n
True,False,0.07933,0.88782,p
True,True,0.90918,0.47057,p
True,False,0.48739,0.37087,n
False,False,0.69508,0.19109,n
True,True,0.82262,0.23181,p
True,True,0.39579,0.24002,p
True,False,0.52425,0.89343,n
True,False,0.09510,0.09400,p
False,False,0.04457,0.84182,p
False,False,0.13966,0.07334,n
True,True,0.67388,0.63917,p
True,False,0.85649,0.02807,p
True,True,0.59098,0.31157,n
False,True,0.00723,0.99541,n
False,False,0.13853,0.87730,n
False,True,0.95231,0.94455,n
True,False,0.74609,0.83417,n
True,False,0.88185,0.72061,p
False,False,0.34924,0.13534,n
True,False,0.98423,0.76667,n
True,True,0.74376,0.43605,p
True,True,0.23384,0.27500,p
False,True,0.43795,0.08688,p
True,True,0.99680,0.14411,p
True,False,0.40589,0.50453,n
True,True,0.30516,0.76266,p
True,True,0.37242,0.59986,p
True,True,0.21600,0.63314,p
True,True,0.97864,0.73734,p
False,True,0.48007,0.95625,n
False,True,0.78183,0.30287,p
True,False,0.65491,0.92240,n
False,True,0.72837,0.79830,n
True,False,0.29766,0.32350,p
False,True,0.50306,0.56708,p
True,False,0.97781,0.10793,p
False,True,0.00961,0.72211,n
True,False,0.02422,0.19504,p
False,True,0.41450,0.50583,n
True,True,0.00038,0.20906,p
False,False,0.93054,0.95922,n
True,False,0.61375,0.86804,n
False,False,0.31922,0.21877,n
True,False,0.21161,0.05531,n
True,False,0.14483,0.90278,n
False,True,0.32858,0.46510,p
True,True,0.33702,0.13382,p
False,True,0.18223,0.77457,p
False,True,0.47678,0.57752,n
True,False,0.07754,0.57376,p
True,False,0.31731,0.84191,n
False,True,0.28627,0.96734,n
False,True,0.61794,0.59249,n
False,False,0.70817,0.41989,p
False,True,0.28487,0.40301,p
False,False,0.98019,0.45334,n
False,False,0.75441,0.00640,n
False,False,0.00180,0.24702,p
True,True,0.74974,0.59913,p
True,False,0.51226,0.98070,n
False,False,0.68367,0.98307,n
True,False,0.17244,0.53177,p
False,False,0.49997,0.29288,n
True,False,0.44941,0.40775,n
False,True,0.35007,0.34039,p
False,False,0.72674,0.34980,n
False,False,0.60843,0.01862,n
True,True,0.02489,0.84223,p
False,True,0.91599,0.36068,p
True,False,0.55281,0.92739,n
False,True,0.49138,0.66486,n
False,True,0.02604,0.32033,p
False,True,0.46260,0.70151,n
True,False,0.75651,0.59653,p
False,True,0.93043,0.77253,n
False,False,0.36290,0.18304,n
True,True,0.42724,0.66099,p
False,True,0.06517,0.26263,n
False,True,0.33340,0.01642,p
True,False,0.85398,0.53947,p
False,True,0.04580,0.69399,n
False,True,0.75003,0.96237,n
True,True,0.89199,0.14827,p
False,True,0.88776,0.79235,n
False,True,0.03118,0.05363,p
False,True,0.61394,0.96915,n
True,True,0.26299,0.05120,p
True,False,0.33708,0.86116,n
False,False,0.89107,0.52194,n
False,True,0.39608,0.33105,p
False,True,0.03850,0.26564,p
True,True,0.51635,0.71009,p
True,True,0.08900,0.05193,p
True,False,0.66789,0.11367,p
False,True,0.55611,0.27106,n
False,False,0.85358,0.36220,n
False,False,0.74088,0.95729,n
True,True,0.35126,0.50776,p
False,True,0.14047,0.93966,n
True,True,0.52812,0.06155,p
True,True,0.40644,0.58258,p
True,False,0.49500,0.56430,n
False,False,0.62915,0.80470,n
True,True,0.09687,0.12278,p
False,True,0.04631,0.31166,p
False,False,0.15567,0.92107,n
True,False,0.17139,0.29302,p
False,False,0.48495,0.69917,n
True,True,0.13007,0.64418,p
False,True,0.44273,0.93719,n
True,True,0.13248,0.55582,p
False,True,0.46030,0.67792,n
True,False,0.01175,0.27362,p
False,True,0.19936,0.91914,n
True,True,0.76103,0.36096,p
False,True,0.99403,0.85910,n
False,True,0.75217,0.92654,p
False,True,0.09124,0.50580,p
True,False,0.13361,0.78598,n
False,True,0.90006,0.35458,p
False,False,0.15707,0.17861,n
False,False,0.66770,0.14533,n
False,True,0.53528,0.34594,n
False,True,0.08423,0.08363,p
True,False,0.25225,0.95228,n
False,False,0.96433,0.10578,n
False,False,0.72750,0.61884,n
True,False,0.67119,0.17257,p
False,True,0.32482,0.67576,n
True,True,0.25191,0.29622,n
True,False,0.48898,0.28496,n
True,False,0.45931,0.73096,n
False,True,0.49161,0.47253,n
True,True,0.33253,0.28530,p
False,True,0.56174,0.08426,p
False,False,0.58475,0.07447,n
False,False,0.94274,0.56388,n
True,False,0.73288,0.00306,p
False,False,0.18782,0.25909,n
False,True,0.47397,0.12883,p
False,False,0.38278,0.35858,n
True,False,0.68609,0.42710,p
False,True,0.93810,0.19647,p
False,True,0.78711,0.90771,p
True,True,0.34702,0.60800,p
True,True,0.01595,0.82058,p
True,False,0.55959,0.83776,n
True,True,0.87672,0.10372,p
True,True,0.93250,0.06555,p
True,False,0.24849,0.85895,n
False,True,0.21168,0.85641,n
False,True,0.68474,0.91195,n
True,True,0.03898,0.30897,p
False,True,0.19269,0.09651,n
True,True,0.76043,0.81464,p
False,False,0.91359,0.41493,n
False,True,0.37849,0.50264,n
True,True,0.29386,0.43123,p
True,True,0.15906,0.63400,p
False,False,0.14692,0.86933,n
True,False,0.81779,0.93141,n
True,True,0.11492,0.46969,p
False,False,0.72220,0.75785,n
True,True,0.23371,0.04655,p
False,True,0.68103,0.98236,n
False,False,0.58647,0.80654,n
False,True,0.98046,0.63859,p
False,False,0.29516,0.89134,n
True,False,0.03710,0.79070,n
True,True,0.66204,0.41457,p
False,True,0.29219,0.88127,n
True,False,0.18480,0.23385,p
False,False,0.81122,0.02581,n
False,False,0.43193,0.76149,n
False,False,0.25374,0.52184,n
True,True,0.00504,0.12900,n
True,False,0.00493,0.52618,n
False,True,0.69415,0.99124,n
False,False,0.60299,0.10651,n
True,True,0.51187,0.76523,p
False,False,0.72548,0.05993,n
False,True,0.26279,0.54298,n
False,False,0.65076,0.36311,n
True,True,0.09949,0.31466,p
False,True,0.41403,0.36398,n
False,True,0.86636,0.49733,p
False,False,0.84687,0.45199,n
True,True,0.91920,0.52150,p
False,True,0.14973,0.78003,p
True,False,0.83119,0.58901,p
False,False,0.47822,0.55529,n
False,True,0.88640,0.37802,p
False,False,0.06059,0.93701,n
True,False,0.34435,0.96967,n
False,True,0.48127,0.27225,n
True,True,0.07267,0.52501,p
False,True,0.64621,0.45383,p
True,True,0.70188,0.59770,p
False,False,0.11110,0.16834,n
True,True,0.37640,0.19663,p
True,True,0.68412,0.74442,p
False,False,0.94088,0.22487,n
True,False,0.61956,0.58359,n
False,False,0.31892,0.60408,p
True,True,0.89151,0.70501,p
False,False,0.59820,0.92769,n
False,True,0.49148,0.89951,p
False,True,0.52671,0.06386,p
True,True,0.56018,0.79391,p
False,False,0.21834,0.79394,n
False,False,0.63519,0.22103,n
True,True,0.83433,0.48175,p
False,False,0.46255,0.30679,n
False,True,0.08400,0.64285,n
False,True,0.16475,0.76376,p
False,True,0.82609,0.03176,p
True,True,0.24498,0.94064,p
True,False,0.74191,0.22158,p
True,True,0.32442,0.52492,p
False,False,0.97764,0.37526,n
True,True,0.09426,0.38447,p
True,False,0.00180,0.19039,p
False,True,0.59086,0.11689,p
True,True,0.55581,0.21077,p
False,False,0.23342,0.45902,n
False,True,0.26292,0.13045,p
False,True,0.43986,0.40990,n
False,False,0.39166,0.98239,n
True,False,0.22701,0.67258,p
False,True,0.20013,0.81894,n
False,False,0.85612,0.01093,n
False,True,0.55506,0.89429,n
True,True,0.64041,0.74962,p
True,False,0.44942,0.61881,n
True,True,0.05315,0.92087,p
True,False,0.16992,0.25291,p
True,False,0.75348,0.41621,p
False,False,0.38200,0.56414,n
True,True,0.89189,0.82098,p
True,False,0.91402,0.48236,p
False,False,0.34924,0.29925,n
False,False,0.50065,0.93941,n
False,False,0.84813,0.67920,n
True,False,0.37394,0.33997,p
True,True,0.82693,0.28261,p
False,False,0.92760,0.39324,n
False,True,0.73442,0.03182,p
False,True,0.61023,0.82492,n
False,False,0.76793,0.10795,p
False,False,0.44167,0.17801,n
True,False,0.81832,0.49316,p
False,True,0.21345,0.52603,n
True,False,0.71039,0.52707,p
True,True,0.59635,0.00290,p
True,True,0.59346,0.80752,n
True,False,0.89242,0.49540,p
True,True,0.28822,0.97252,p
True,True,0.54554,0.61135,p
True,True,0.19203,0.89419,p
False,False,0.97116,0.22315,n
True,False,0.08381,0.62011,p
True,False,0.25696,0.98315,n
False,True,0.67836,0.54733,n
False,False,0.51778,0.34556,n
True,True,0.91075,0.35517,p
True,True,0.38725,0.88223,p
False,True,0.26695,0.97371,n
True,False,0.03816,0.09411,p
True,True,0.16976,0.59385,p
True,True,0.94588,0.80820,p
False,False,0.93596,0.49206,n
False,True,0.78783,0.58936,p
True,True,0.59417,0.03931,p
True,False,0.57939,0.50169,n
True,True,0.90961,0.50497,p
True,False,0.93792,0.02339,p
True,False,0.50004,0.66366,n
True,True,0.44235,0.02838,p
False,True,0.04180,0.66520,n
True,False,0.95059,0.87940,n
True,False,0.28894,0.60541,p
False,True,0.14933,0.29722,p
True,True,0.62947,0.45316,p
True,True,0.66663,0.07319,p
False,False,0.11215,0.25502,n
True,True,0.92099,0.47281,p
False,True,0.23088,0.24413,p
False,True,0.43918,0.14549,p
False,True,0.25985,0.63158,n
True,True,0.29544,0.64366,p
False,False,0.16398,0.55269,n
True,True,0.69702,0.65163,p
True,False,0.69612,0.69428,n
False,False,0.71680,0.10414,n
False,False,0.03887,0.38787,n
False,True,0.66245,0.37100,p
False,True,0.49941,0.40541,n
False,True,0.33535,0.56730,n
True,False,0.49034,0.53957,n
True,False,0.37583,0.69039,n
True,True,0.91920,0.75011,p
True,False,0.32047,0.00079,p
True,False,0.63196,0.19424,p
True,False,0.45037,0.29791,n
True,True,0.11932,0.93300,p
False,False,0.70963,0.17464,n
False,True,0.02990,0.73008,p
True,True,0.37703,0.23169,p
True,False,0.95891,0.60257,p
True,False,0.88882,0.82024,n
True,False,0.64514,0.65141,n
False,False,0.74720,0.17325,p
False,True,0.28420,0.92415,n
False,True,0.01888,0.02103,p
True,False,0.88999,0.94689,n
False,False,0.02704,0.76757,n
