@relation SINE1
@attribute x real
@attribute y real
@attribute class {p,n}

@data
0.10139,0.68222,n
0.90794,0.01604,p
0.87259,0.48402,p
0.32180,0.25769,p
0.01151,0.80212,n
0.55299,0.78400,n
0.43346,0.90705,n
0.63987,0.60952,n
0.35552,0.37135,n
0.68460,0.57239,p
0.49343,0.61337,n
0.39793,0.44621,p
0.88626,0.62743,p
0.84241,0.57791,p
0.61216,0.33749,n
0.73965,0.42790,p
0.99829,0.58498,p
0.91476,0.26562,p
0.44521,0.09961,p
0.68197,0.62065,p
0.70255,0.16617,p
0.06300,0.36579,n
0.18175,0.51086,n
0.86739,0.29233,p
0.22814,0.96136,n
0.70358,0.74335,n
0.08314,0.91343,p
0.54666,0.79223,n
0.90733,0.64544,p
0.50664,0.99922,n
0.87435,0.92290,n
0.85257,0.43929,p
0.08908,0.31720,n
0.49222,0.64574,n
0.87092,0.90996,n
0.54621,0.42491,p
0.47254,0.13004,p
0.93724,0.18860,p
0.78786,0.53209,p
0.63641,0.32641,n
0.57715,0.19534,p
0.47645,0.07039,p
0.86139,0.90465,n
0.42088,0.64798,n
0.08392,0.78652,n
0.21455,0.33270,p
0.92601,0.20733,p
0.81909,0.92552,n
0.34765,0.56980,n
0.87936,0.73345,p
0.87595,0.28659,p
0.28969,0.01444,p
0.85024,0.12898,p
0.95537,0.41427,p
0.98030,0.72342,p
0.48457,0.01476,p
0.20314,0.43421,n
0.84436,0.94610,n
0.67761,0.24296,p
0.17873,0.54588,n
0.11836,0.12690,n
0.30041,0.18181,p
0.14266,0.73085,n
0.09009,0.50043,n
0.97225,0.58690,p
0.28080,0.98897,n
0.21338,0.37730,n
0.79844,0.54579,p
0.63136,0.30681,p
0.42834,0.69556,n
0.82626,0.26325,p
0.43216,0.25122,p
0.76551,0.65973,p
0.54724,0.49240,p
0.70113,0.18734,p
0.47775,0.29218,p
0.46630,0.04640,p
0.96507,0.44954,p
0.57935,0.23133,n
0.75884,0.22822,p
0.69580,0.20818,p
0.60491,0.61921,n
0.11432,0.13692,n
0.94589,0.31809,p
0.75135,0.11242,p
0.75978,0.99426,n
0.35084,0.02583,p
0.49958,0.92102,n
0.42819,0.47570,n
0.73692,0.30887,p
0.83937,0.98516,n
0.93688,0.37725,p
0.53103,0.71094,p
0.77544,0.27622,p
0.08855,0.71643,p
0.00183,0.22307,n
0.88123,0.08050,p
0.64232,0.26642,p
0.30356,0.37583,n
0.36039,0.53739,n
0.40608,0.91030,n
0.09036,0.18037,n
0.45674,0.76719,n
0.79704,0.51068,p
0.07768,0.50576,n
0.67960,0.80896,n
0.34640,0.20295,p
0.23734,0.82605,n
0.04981,0.67212,n
0.45184,0.44115,n
0.94466,0.01894,n
0.80781,0.49841,n
0.68131,0.60465,p
0.42857,0.63144,n
0.89461,0.56517,p
0.21472,0.49744,n
0.81076,0.05500,p
0.21767,0.27517,p
0.27211,0.39392,n
0.93381,0.81028,n
0.16530,0.35931,p
0.99584,0.93141,n
0.28795,0.89442,n
0.44719,0.86909,n
0.06477,0.58239,n
0.89812,0.16684,p
0.16847,0.01151,p
0.22516,0.06355,p
0.37648,0.00195,p
0.56591,0.01432,p
0.89931,0.27374,p
0.20586,0.65743,n
0.17892,0.32398,n
0.35331,0.35208,n
0.13452,0.11537,p
0.83798,0.40295,p
0.34718,0.20258,p
0.15481,0.59639,n
0.60987,0.87549,p
0.88837,0.73293,p
0.21614,0.13260,p
0.61210,0.18957,p
0.53801,0.37217,p
0.77245,0.53077,p
0.36703,0.31793,p
0.29386,0.44799,n
0.52135,0.49556,p
0.11522,0.13488,n
0.50732,0.33145,n
0.97056,0.01767,p
0.68709,0.44231,p
0.10324,0.45454,n
0.92926,0.79222,p
0.86259,0.08800,p
0.73583,0.24336,p
0.44914,0.91533,n
0.39528,0.38570,n
0.59808,0.16090,p
0.28875,0.22297,p
0.55020,0.97188,n
0.84197,0.60160,p
0.77023,0.25040,p
0.43940,0.35347,p
0.19454,0.79640,n
0.49116,0.24172,p
0.80461,0.13243,p
0.83487,0.11564,p
0.05897,0.59214,n
0.08878,0.07419,n
0.39837,0.86903,n
0.39560,0.94437,n
0.15548,0.96407,n
0.31538,0.21383,p
0.76146,0.53474,p
0.57067,0.41417,p
0.00386,0.05722,n
0.89393,0.77425,p
0.43526,0.42107,p
0.28814,0.56872,n
0.87227,0.42175,n
0.55802,0.87568,n
0.10445,0.64974,p
0.31333,0.13770,p
0.74569,0.96476,n
0.35606,0.07797,p
0.28974,0.21730,p
0.47218,0.55287,n
0.78773,0.73297,p
0.87455,0.42621,p
0.04051,0.76618,p
0.85734,0.61465,p
0.47771,0.95362,n
0.31900,0.81921,n
0.75127,0.15237,p
0.56503,0.81431,n
0.01693,0.19921,n
0.54960,0.74341,n
0.79102,0.04357,p
0.67288,0.00465,p
0.72639,0.63599,p
0.39738,0.96296,n
0.18888,0.19116,n
0.85928,0.35363,p
0.82139,0.30574,n
0.93878,0.45441,p
0.38107,0.45994,n
0.23540,0.97920,n
0.53621,0.70774,n
0.10658,0.44132,p
0.45565,0.05220,p
0.21421,0.47737,n
0.80521,0.63340,p
0.33140,0.34370,n
0.78139,0.18951,p
0.35150,0.52747,n
0.93184,0.92460,n
0.35096,0.49758,n
0.28468,0.42604,n
0.50756,0.76026,n
0.07636,0.47551,p
0.69400,0.50420,p
0.18236,0.52920,n
0.85753,0.00668,n
0.66442,0.16197,p
0.79332,0.03804,p
0.39933,0.46694,n
0.35649,0.36563,n
0.90888,0.07824,p
0.93082,0.12650,p
0.66328,0.88175,n
0.99276,0.83616,p
0.07890,0.45478,n
0.40879,0.05135,p
0.48638,0.13263,p
0.95214,0.25031,p
0.74490,0.52691,n
0.47237,0.39227,n
0.02921,0.25769,n
0.39877,0.11470,p
0.68991,0.26145,p
0.85426,0.35477,p
0.29573,0.97316,n
