@relation SINE1
@attribute x real
@attribute y real
@attribute class {p,n}

@data
0.93434,0.66033,p
0.93549,0.03514,p
0.79879,0.44293,p
0.26289,0.46383,n
0.95771,0.42591,n
0.74204,0.77197,n
0.58106,0.51479,p
0.30175,0.81100,n
0.13017,0.69521,n
0.94451,0.34494,p
0.74667,0.02554,p
0.72488,0.95949,n
0.11507,0.03544,p
0.08950,0.75173,n
0.48766,0.79280,n
0.56385,0.84927,n
0.22594,0.48458,n
0.73400,0.01509,p
0.83184,0.97525,n
0.76569,0.13446,p
0.94411,0.75341,p
0.94730,0.83267,n
0.39983,0.95796,p
0.16210,0.18546,n
0.13274,0.79635,n
0.13065,0.23480,n
0.86399,0.41020,p
0.29711,0.38589,n
0.30669,0.51205,n
0.30601,0.56353,n
0.95414,0.01834,p
0.94958,0.30814,p
0.85219,0.62366,p
0.30483,0.43898,n
0.10781,0.60744,n
0.05373,0.26147,n
0.72019,0.42339,n
0.88824,0.83443,n
0.03716,0.29723,n
0.35375,0.66594,n
0.70711,0.33777,p
0.47839,0.57134,n
0.13913,0.27343,n
0.42266,0.84443,n
0.44135,0.71074,p
0.11031,0.92949,p
0.71139,0.09114,p
0.84169,0.85985,n
0.72631,0.01161,p
0.11008,0.55743,n
0.78720,0.11045,n
0.12385,0.40706,n
0.86634,0.70669,p
0.24183,0.47900,n
0.46009,0.95157,n
0.24359,0.70173,n
0.75372,0.29685,p
0.38495,0.60626,n
0.06080,0.73939,n
0.82264,0.15504,n
0.74959,0.92310,p
0.89208,0.14147,p
0.41766,0.00830,p
0.28099,0.00404,p
0.94994,0.71448,n
0.44268,0.50052,n
0.37445,0.69954,n
0.91463,0.48696,p
0.82083,0.99271,n
0.02880,0.92577,n
0.10158,0.94073,n
0.76041,0.13618,n
0.00509,0.63074,n
0.62410,0.88789,n
0.91018,0.70103,p
0.94635,0.49948,p
0.65963,0.15720,p
0.20851,0.26458,p
0.34543,0.13646,p
0.44954,0.31157,p
0.43562,0.65299,n
0.28735,0.07042,p
0.55520,0.13833,p
0.74499,0.95608,n
0.45085,0.20049,p
0.23370,0.39366,n
0.12285,0.95130,n
0.83583,0.33767,p
0.68110,0.96749,p
0.02528,0.15628,n
0.42962,0.45881,p
0.72259,0.22846,p
0.35183,0.16002,p
0.57838,0.85694,p
0.68042,0.02981,p
0.95252,0.42061,p
0.38963,0.36395,p
0.88388,0.49218,p
0.39714,0.62557,n
0.91399,0.98834,n
0.01862,0.08564,n
0.15468,0.02761,p
0.99934,0.46657,p
0.36427,0.46980,p
0.87929,0.94390,n
0.30492,0.06580,p
0.39970,0.04746,p
0.56312,0.05709,n
0.02195,0.25506,n
0.44648,0.30672,p
0.98089,0.20410,n
0.93441,0.46648,p
0.22325,0.52367,n
0.25762,0.98583,n
0.95856,0.12466,p
0.08283,0.44698,n
0.89182,0.20379,p
0.84671,0.56011,p
0.37990,0.13274,p
0.74634,0.74581,n
0.51305,0.81838,n
0.27979,0.02470,p
0.83212,0.72657,p
0.93421,0.19167,p
0.26404,0.32789,n
0.07049,0.83754,n
0.38126,0.07093,n
0.35318,0.03791,p
0.56928,0.74120,n
0.54521,0.06231,p
0.16902,0.91470,n
0.89525,0.45533,p
0.71748,0.21969,p
0.72015,0.83699,n
0.72735,0.87156,n
0.23313,0.05560,p
0.75440,0.99982,n
0.68084,0.65474,p
0.88236,0.46128,p
0.55827,0.96915,n
0.39008,0.73116,n
0.81376,0.28195,p
0.66127,0.58746,p
0.15262,0.30989,n
0.52777,0.82916,n
0.79641,0.13959,p
0.68721,0.63553,n
0.96865,0.19004,p
0.72543,0.86413,n
0.19678,0.46580,n
0.03211,0.97021,n
0.83562,0.58021,p
0.28641,0.51339,n
0.47465,0.36693,p
0.68431,0.59476,p
0.57824,0.83016,n
0.62486,0.76980,n
0.85677,0.08282,p
0.87295,0.50103,p
