@relation SINE1
@attribute x real
@attribute y real
@attribute class {p,n}

@data
0.07595,0.74131,n
0.79337,0.90564,n
0.47176,0.18767,p
0.19322,0.94149,n
0.38392,0.25129,p
0.42052,0.01993,n
0.23558,0.69890,n
0.65346,0.10901,p
0.78784,0.94889,n
0.82947,0.51623,p
0.69854,0.98986,p
0.08772,0.02513,p
0.90234,0.56596,p
0.15243,0.17318,n
0.91199,0.38289,p
0.85490,0.02576,p
0.10277,0.19102,n
0.75020,0.62783,n
0.23874,0.14196,p
0.23133,0.06435,p
0.54272,0.01198,p
0.65681,0.20469,n
0.80787,0.89967,p
0.55039,0.30519,p
0.83916,0.24963,p
0.74667,0.85221,n
0.38410,0.27082,p
0.17932,0.64794,n
0.72538,0.66788,n
0.34389,0.78915,n
0.56851,0.73636,n
0.48185,0.67588,n
0.26813,0.73101,n
0.37489,0.93180,n
0.54111,0.73360,n
0.05922,0.54800,n
0.05740,0.87711,n
0.52582,0.02756,p
0.02727,0.13121,n
0.34455,0.21240,n
0.08758,0.07787,p
0.91226,0.28629,p
0.45973,0.43391,p
0.50888,0.99184,n
0.71646,0.34007,p
0.54022,0.08753,p
0.65755,0.88257,n
0.11323,0.67906,n
0.78394,0.58230,p
0.78950,0.55060,p
0.29254,0.98304,n
0.20439,0.36506,n
0.96547,0.23902,p
0.34053,0.09804,p
0.82984,0.38345,p
0.92186,0.49725,n
0.48711,0.40037,p
0.81811,0.63633,n
0.60861,0.36581,n
0.31016,0.07998,p
0.71889,0.43572,p
0.99798,0.73009,p
0.97478,0.37123,p
0.42606,0.88570,n
0.46830,0.30100,p
0.36757,0.33995,p
0.38365,0.19242,p
0.83974,0.89181,n
0.59262,0.40248,n
0.58410,0.35300,p
0.87342,0.52577,p
0.90349,0.42925,p
0.32838,0.88863,n
0.09191,0.08336,n
0.26264,0.41463,n
0.51658,0.53998,n
0.87302,0.54993,n
0.10060,0.91283,n
0.30062,0.59844,n
0.83458,0.10416,p
0.62366,0.71638,p
0.68491,0.53882,n
0.63128,0.30576,p
0.53170,0.52047,n
0.86311,0.27637,p
0.74254,0.98672,n
0.93959,0.89924,n
0.88877,0.15109,p
0.65350,0.99888,n
0.44931,0.80042,n
0.01335,0.29266,n
0.52981,0.57013,n
0.90729,0.09599,p
0.90399,0.60725,p
0.32882,0.00053,p
0.25530,0.27423,n
0.70437,0.81939,n
0.88970,0.63863,p
0.78901,0.75489,n
0.97847,0.66865,p
0.48214,0.51484,n
0.48233,0.22038,p
0.54465,0.87933,n
0.74278,0.50109,p
0.79759,0.19045,p
0.53800,0.65580,n
