@relation SINE1
@attribute x real
@attribute y real
@attribute class {p,n}

@data
0.22616,0.58146,n
0.82495,0.01936,p
0.84254,0.08303,p
0.14083,0.51309,n
0.81125,0.67611,p
0.45868,0.05521,p
0.61518,0.69693,n
0.68256,0.50565,p
0.26171,0.53251,n
0.18107,0.07608,n
0.42040,0.34530,p
0.58277,0.36245,p
0.41309,0.34532,p
0.23572,0.61433,n
0.89076,0.28537,n
0.03055,0.12226,n
0.73471,0.54128,p
0.06331,0.58509,n
0.63809,0.44988,p
0.16733,0.92298,n
0.92112,0.20580,p
0.57318,0.72676,n
0.67075,0.97026,n
0.82048,0.48391,p
0.91701,0.38155,p
0.32816,0.02176,p
0.31195,0.26564,p
0.77902,0.68229,p
0.22658,0.06063,p
0.35737,0.27045,p
0.21646,0.13480,p
0.94917,0.79697,p
0.84373,0.47885,p
0.57419,0.06147,p
0.60633,0.07012,p
0.23599,0.06562,p
0.47111,0.21869,p
0.28680,0.71440,n
0.18706,0.67359,n
0.53497,0.76320,n
0.44242,0.46618,n
0.14071,0.54735,n
0.67944,0.02816,p
0.09694,0.68484,p
0.75361,0.53754,p
0.72089,0.93915,n
0.05891,0.31806,n
0.45298,0.14756,n
0.76322,0.69787,n
0.77918,0.85839,n
0.30925,0.47444,n
0.00129,0.12141,p
0.10938,0.00060,p
0.24507,0.00551,p
0.54193,0.83560,n
0.34386,0.68217,n
0.22975,0.20348,p
0.52156,0.08036,p
0.68147,0.49987,p
0.78358,0.25803,p
0.72973,0.77027,n
0.42573,0.51662,n
0.63902,0.68582,n
0.43080,0.63946,n
0.59487,0.01320,p
0.57022,0.49533,p
0.29399,0.78905,n
0.97555,0.70269,p
0.15758,0.09610,p
0.86714,0.65309,p
0.08061,0.26569,n
0.35499,0.13659,n
0.11091,0.89490,n
0.33365,0.78116,n
0.61858,0.42375,p
0.79764,0.27181,p
0.41505,0.06164,p
0.14415,0.22854,p
0.10242,0.07507,p
0.67600,0.97869,n
0.56212,0.74291,n
0.15478,0.80332,n
0.75935,0.48342,p
0.53540,0.10640,p
0.15245,0.56578,n
0.48746,0.90199,n
0.00842,0.97335,n
0.29980,0.81090,p
0.57969,0.29077,p
0.07234,0.53236,n
0.86785,0.60127,p
0.76373,0.28903,n
0.20967,0.17043,p
0.54044,0.44086,p
0.25229,0.16425,p
0.89067,0.32135,p
0.06982,0.01897,p
0.54227,0.58798,n
0.85263,0.49137,n
0.25862,0.13467,p
0.25547,0.66186,n
0.43380,0.13184,p
0.73123,0.34577,p
0.80275,0.32957,p
0.89978,0.03296,p
0.40732,0.60733,n
0.99047,0.71755,n
0.95104,0.30293,p
0.67792,0.32585,p
0.99000,0.02774,p
0.21670,0.95401,n
0.61065,0.45430,p
0.35093,0.78462,n
0.56997,0.72220,p
0.00656,0.41388,n
0.08255,0.35272,n
0.08708,0.02646,p
0.52851,0.39637,p
0.38501,0.83838,n
0.23776,0.34240,n
0.41528,0.77602,n
0.96461,0.41275,p
0.27050,0.30255,p
0.88474,0.78342,n
0.18978,0.90013,n
0.49608,0.21903,p
0.25412,0.13953,p
0.94241,0.99012,p
0.42645,0.41635,n
0.13990,0.78011,n
0.07332,0.90411,n
0.16633,0.34098,n
0.58769,0.01776,p
0.43362,0.36659,p
0.32912,0.69011,n
0.09078,0.93932,p
0.99502,0.33348,p
0.71243,0.38657,p
0.01314,0.60918,n
0.85174,0.69038,p
0.50180,0.48740,n
0.41180,0.66440,n
0.85656,0.45248,p
0.65142,0.06407,p
0.40745,0.29413,p
0.59800,0.51038,p
0.15897,0.87545,n
0.14564,0.72827,n
0.45411,0.41683,p
0.95270,0.25885,p
0.82852,0.06085,p
0.52382,0.43277,n
0.42326,0.48495,n
0.34992,0.91195,n
0.56832,0.59833,p
0.29044,0.00895,p
0.22171,0.80440,n
0.72354,0.22179,p
0.10395,0.45352,n
0.17369,0.16957,p
0.47423,0.12843,p
0.42478,0.06560,n
0.18182,0.13800,p
0.58495,0.14605,p
0.18597,0.70421,n
0.39039,0.97851,n
0.48907,0.09204,p
0.33665,0.63178,n
0.15881,0.90694,n
0.66280,0.70596,n
0.58472,0.38058,p
0.16013,0.45748,n
0.52403,0.40038,p
0.69725,0.59331,p
0.07583,0.75261,n
0.69012,0.22492,p
0.20973,0.04468,p
0.30737,0.32568,p
0.69845,0.24718,p
0.85455,0.98814,n
0.04070,0.52337,n
0.50634,0.65472,n
0.52444,0.78095,n
0.06649,0.65223,p
0.29153,0.33536,n
0.09304,0.06529,p
0.80080,0.43640,p
0.99303,0.86242,n
0.45889,0.10611,p
0.97772,0.66573,p
0.05581,0.08185,n
0.36109,0.51891,n
0.62639,0.58380,p
0.95932,0.85691,p
0.60949,0.27990,p
0.86348,0.47548,p
0.67178,0.42418,n
0.65751,0.39810,n
0.94078,0.99817,n
0.96271,0.55773,p
0.58964,0.99790,n
0.61259,0.73842,n
0.36015,0.20939,p
0.95090,0.75635,p
0.33558,0.47936,n
0.90383,0.78513,p
0.20265,0.50970,n
0.08469,0.88480,p
0.32602,0.56349,p
0.31943,0.51906,n
0.85191,0.81715,n
0.02541,0.39905,p
0.92346,0.67953,p
0.46912,0.63175,n
0.34289,0.80090,n
0.81621,0.41976,p
0.33271,0.66380,n
0.01529,0.52453,n
0.80680,0.43434,p
0.64815,0.34510,p
0.25357,0.17066,p
0.24621,0.29340,n
0.56633,0.03410,p
0.45939,0.74282,n
0.17373,0.56214,n
0.09660,0.34344,n
0.28655,0.50650,n
0.69061,0.43043,p
0.45789,0.09692,p
0.87210,0.28525,p
0.83191,0.25503,p
0.79364,0.12634,n
0.47313,0.41418,p
0.06468,0.00839,p
0.43623,0.61856,n
0.72619,0.12398,p
0.86771,0.59546,p
0.86997,0.42671,p
0.46814,0.84104,n
0.77250,0.62373,p
0.23256,0.82927,n
0.74738,0.41365,p
0.61261,0.74528,n
0.47855,0.04671,n
0.37856,0.98886,n
0.11444,0.31900,n
0.61355,0.23031,p
0.24804,0.27623,n
0.00566,0.87287,n
0.24749,0.28934,n
0.58463,0.38709,n
0.98772,0.84659,n
0.08488,0.24456,n
0.81061,0.10414,p
0.13126,0.53040,n
0.09147,0.80338,n
0.65515,0.24985,p
0.96630,0.74406,p
0.95204,0.83780,p
0.48354,0.72170,n
0.17904,0.48484,n
0.58976,0.53027,n
0.62618,0.77165,n
0.51919,0.77086,n
0.56120,0.38413,p
0.06084,0.10727,n
0.02547,0.95364,n
0.45331,0.48975,n
0.46572,0.28220,p
0.35270,0.97977,n
0.21629,0.05754,p
0.08886,0.47423,n
0.49622,0.58714,n
0.12193,0.14591,n
0.84002,0.84710,n
0.14406,0.20282,n
0.53531,0.44262,p
0.32679,0.93090,n
0.98146,0.19025,p
0.93786,0.88516,n
0.39025,0.17252,p
0.09547,0.65454,n
0.09133,0.83963,n
0.95850,0.70801,p
0.49420,0.48524,n
0.14691,0.72008,n
0.31904,0.41261,n
0.42912,0.89618,n
0.66693,0.00324,p
0.49216,0.60649,n
0.21321,0.55050,n
0.57344,0.58833,n
0.52064,0.75552,n
0.96298,0.47317,p
0.51118,0.20139,n
0.89868,0.98053,n
0.93047,0.03536,p
0.97959,0.41786,p
0.50827,0.09231,n
0.79746,0.04692,p
0.41878,0.18740,p
0.69006,0.34869,p
0.24780,0.58864,n
0.49418,0.30317,p
0.49040,0.18509,p
0.63745,0.44947,p
0.62554,0.15892,p
0.29154,0.12222,p
0.77903,0.14793,p
0.84161,0.31828,n
0.25117,0.37870,n
0.21211,0.79631,n
0.68185,0.44165,p
0.02082,0.73630,n
0.45429,0.23928,n
0.25957,0.48516,n
0.68653,0.58319,p
0.14984,0.89039,n
0.62826,0.09658,p
0.83096,0.73995,p
0.45159,0.12743,p
0.76069,0.51323,p
0.64459,0.68586,n
0.43275,0.42256,n
0.28932,0.73084,n
0.73686,0.43230,p
0.32632,0.30244,p
0.39436,0.94929,n
0.53854,0.48317,p
0.81931,0.96226,n
0.25470,0.21368,p
0.45855,0.57517,n
0.24917,0.68664,n
0.96840,0.36790,p
0.73408,0.01220,p
0.75430,0.35149,p
0.24108,0.69301,n
0.95844,0.62277,p
0.66949,0.83164,n
0.60477,0.76076,n
0.90675,0.69939,p
0.45199,0.55304,n
0.57370,0.47327,p
0.43767,0.09436,p
0.73723,0.81981,n
0.04145,0.37994,n
0.26445,0.36627,n
0.65445,0.60959,n
0.92984,0.06430,p
0.82540,0.80720,n
0.06465,0.49040,n
0.40527,0.56447,n
0.61767,0.94297,n
0.22470,0.67126,n
0.30748,0.55968,n
0.50265,0.55239,n
0.20070,0.11142,p
0.18053,0.80777,n
0.13123,0.69803,n
0.66907,0.48886,p
0.45443,0.08344,p
0.19148,0.34799,n
0.77907,0.54114,p
0.66771,0.89269,n
0.67834,0.10145,p
0.73921,0.80122,n
0.61178,0.89197,n
0.72787,0.02522,p
0.69311,0.86498,n
0.13055,0.13113,n
0.75819,0.43431,p
0.90204,0.64694,p
0.36380,0.87515,p
0.15787,0.61737,n
0.63919,0.12005,p
0.91511,0.30019,p
0.90205,0.42065,p
0.80267,0.02273,p
0.70800,0.50698,p
0.24172,0.60189,n
0.88685,0.91529,n
0.39832,0.92973,p
0.45619,0.68808,n
0.61802,0.44813,p
0.28074,0.11384,p
0.97464,0.26128,p
0.14376,0.21174,n
0.67667,0.81064,n
0.89633,0.35671,p
0.87302,0.17071,p
0.95793,0.47972,p
0.33216,0.38661,n
