@relation CIRCLES
@attribute x real
@attribute y real
@attribute class {p,n}

@data
0.06310,0.53657,n
0.69356,0.20525,p
0.25039,0.51195,n
0.42553,0.72471,n
0.24392,0.61976,n
0.22548,0.49337,n
0.89059,0.03603,p
0.19796,0.71842,p
0.80247,0.93846,p
0.10029,0.43627,n
0.02132,0.15135,p
0.67346,0.22666,p
0.13148,0.53874,n
0.45209,0.51181,p
0.23017,0.75609,p
0.21974,0.59618,n
0.15139,0.53736,n
0.79016,0.82972,p
0.31524,0.41029,n
0.20260,0.60762,n
0.24239,0.50509,n
0.81244,0.86062,n
0.03773,0.22196,p
0.03372,0.64475,p
0.33475,0.49001,n
0.46415,0.36520,n
0.18632,0.44379,n
0.17675,0.41985,p
0.26628,0.62726,n
0.45361,0.21669,p
0.11514,0.39258,n
0.08122,0.56184,n
0.10046,0.43672,n
0.15382,0.62985,n
0.16076,0.45005,n
0.44841,0.78112,p
0.79709,0.39299,p
0.22301,0.40737,n
0.27939,0.56902,n
0.27698,0.57426,n
0.43687,0.32661,n
0.40070,0.44062,p
0.70594,0.01520,p
0.53212,0.28334,p
0.58378,0.50796,n
0.43931,0.47638,n
0.27608,0.58829,n
0.19592,0.39928,n
0.29189,0.58858,n
0.24145,0.55134,n
0.31332,0.58353,p
0.33541,0.38505,p
0.26544,0.58384,n
0.25097,0.46763,n
0.24335,0.51850,n
0.50818,0.38420,n
0.24771,0.53647,n
0.22798,0.48507,n
0.38497,0.02288,p
0.26685,0.39467,n
0.73090,0.58928,p
0.16424,0.61851,n
0.52432,0.00488,n
0.36929,0.56439,p
0.41723,0.35745,p
0.11636,0.55901,n
0.32558,0.56891,n
0.71525,0.90178,p
0.11998,0.56185,n
0.13383,0.77923,p
0.15461,0.49660,p
0.17332,0.45326,p
0.06628,0.43356,n
0.31777,0.54389,p
0.04337,0.86510,p
0.89651,0.71598,p
0.82968,0.72971,p
0.14326,0.47757,n
0.23321,0.50609,p
0.12731,0.56190,n
0.28992,0.85599,p
0.38269,0.55863,p
0.26320,0.53867,n
0.26459,0.58749,n
0.25606,0.82521,p
0.47669,0.06369,p
0.46272,0.08692,n
0.08925,0.47659,n
0.50269,0.95471,p
0.24956,0.58400,n
0.33200,0.47546,n
0.24224,0.45742,n
0.12760,0.48059,p
0.21254,0.98909,p
0.24843,0.44892,p
0.90434,0.35773,p
0.19481,0.64453,n
0.73100,0.07807,p
0.21629,0.52800,n
0.30271,0.41633,n
0.20151,0.49621,n
0.75668,0.41275,n
0.98822,0.54384,p
0.44388,0.54861,p
0.69091,0.40607,p
0.12762,0.53430,p
0.01525,0.77386,p
0.86518,0.80026,p
0.10299,0.52088,n
0.47954,0.24899,p
0.26214,0.59367,n
0.27430,0.44844,n
0.24577,0.83201,p
0.50615,0.73327,p
0.33280,0.04471,p
0.18914,0.35661,n
0.92126,0.83960,p
0.05896,0.26162,p
0.17334,0.52101,n
0.28372,0.56955,p
0.57087,0.24717,p
0.50395,0.70636,p
0.40027,0.17957,n
0.07889,0.47439,n
0.13310,0.44774,p
0.25851,0.11372,p
0.71489,0.96883,p
0.13110,0.39482,n
0.32273,0.51024,n
0.41898,0.18767,p
0.20901,0.53394,n
0.05316,0.95359,p
0.36179,0.34993,n
0.27339,0.57549,n
0.12966,0.86397,p
