@relation CIRCLES
@attribute x real
@attribute y real
@attribute class {p,n}

@data
0.45931,0.00327,p
0.30375,0.86939,p
0.14689,0.54053,n
0.99495,0.31047,n
0.20191,0.55010,n
0.16658,0.38894,n
0.14850,0.45422,n
0.24748,0.05854,p
0.00764,0.14744,p
0.21205,0.51950,n
0.71068,0.99897,p
0.23705,0.57300,n
0.18952,0.39364,n
0.12962,0.93017,p
0.08337,0.43580,n
0.95768,0.44953,p
0.23850,0.70489,p
0.01716,0.16030,p
0.80274,0.24361,p
0.14460,0.24056,p
0.14463,0.32992,p
0.11530,0.41964,p
0.49931,0.08900,p
0.12322,0.57664,n
0.18886,0.61241,n
0.16593,0.54128,n
0.21161,0.39311,n
0.12136,0.57406,n
0.17861,0.40925,n
0.23206,0.81901,p
0.93854,0.45564,p
0.39879,0.36881,n
0.08761,0.47565,n
0.30652,0.06892,p
0.09458,0.47625,n
0.16617,0.38166,n
0.31384,0.04920,p
0.18542,0.63574,n
0.11001,0.79940,p
0.80269,0.29856,p
0.47476,0.70399,n
0.71145,0.66396,p
0.40793,0.63241,n
0.21525,0.37428,n
0.58867,0.58940,p
0.31186,0.49975,p
0.07138,0.57372,n
0.69939,0.47826,p
0.39363,0.69312,n
0.83672,0.99968,p
0.09683,0.51947,n
0.79033,0.40007,p
0.35455,0.01305,p
0.30557,0.47827,n
0.03839,0.05328,p
0.09156,0.49124,n
0.50252,0.47869,n
0.59842,0.70276,n
0.05779,0.51259,n
0.05670,0.45616,n
0.66121,0.00331,p
0.20039,0.59559,n
0.01453,0.13433,p
0.43199,0.70045,p
0.91645,0.63652,p
0.05354,0.32343,p
0.24512,0.49745,n
0.54775,0.57769,n
0.17342,0.48000,n
0.31164,0.55725,p
0.43125,0.54795,p
0.25431,0.45086,n
0.25688,0.46818,n
0.42059,0.25197,p
0.17959,0.59601,n
0.49532,0.10020,p
0.71264,0.43968,p
0.23948,0.38103,n
0.12842,0.61871,n
0.16527,0.46402,n
0.08131,0.51559,n
0.31346,0.53660,p
0.20279,0.62375,n
0.09030,0.56705,p
0.30584,0.40221,n
0.49121,0.35713,n
0.20785,0.24178,p
0.26667,0.51588,p
0.30100,0.38290,n
0.24172,0.46043,n
0.10279,0.45265,n
0.79190,0.01130,p
0.12723,0.50896,n
0.23949,0.35697,n
0.42386,0.81369,n
0.14311,0.47844,p
0.38136,0.21242,p
0.53192,0.59238,n
0.66142,0.06631,p
0.81892,0.84603,p
0.50475,0.70434,p
0.45439,0.89153,n
0.34799,0.52153,n
0.35713,0.37180,n
0.18230,0.35117,n
0.17221,0.45148,n
0.14166,0.00770,p
0.65549,0.53814,n
0.19957,0.31790,p
0.09362,0.14593,p
0.12219,0.51306,n
0.45618,0.33816,n
0.21458,0.14255,p
0.51612,0.64193,n
0.01572,0.55689,p
0.06592,0.37247,p
0.36941,0.52126,n
0.82120,0.60442,p
0.22161,0.70386,p
0.75921,0.49751,p
0.98014,0.44617,p
0.22700,0.51130,n
0.80480,0.53351,p
0.25853,0.43429,p
0.90797,0.51771,p
0.10948,0.52558,n
0.23365,0.48804,p
0.33665,0.55159,p
0.25779,0.98015,n
0.54937,0.59940,p
0.59124,0.50471,p
0.89178,0.86958,p
0.13215,0.50776,n
0.76952,0.42840,p
0.85499,0.49760,p
0.29642,0.61423,n
0.18717,0.35592,n
0.69628,0.94810,p
0.90109,0.94534,p
0.28844,0.10499,p
0.08090,0.56563,p
0.26116,0.44356,p
0.39301,0.39856,p
0.37163,0.73623,p
0.35968,0.32230,n
0.14573,0.56515,n
0.51428,0.92526,p
0.20436,0.37683,n
0.00344,0.25290,p
0.41045,0.37266,n
0.96571,0.55439,p
0.54265,0.08729,p
0.16433,0.74625,p
0.33382,0.83789,p
0.85109,0.13070,p
0.51205,0.60901,p
0.07686,0.48233,n
0.07043,0.14277,n
0.75114,0.61161,p
0.13412,0.55201,n
0.86752,0.12600,p
0.13457,0.45308,n
0.25651,0.38587,n
0.98912,0.47823,p
0.18716,0.42599,n
0.10561,0.56317,n
0.25411,0.50180,n
0.60620,0.51180,p
0.61511,0.74579,p
0.49246,0.64723,n
0.18554,0.64534,n
0.38061,0.52912,n
0.80046,0.58205,p
0.16575,0.47123,p
0.29011,0.53383,n
0.65427,0.06977,p
0.58332,0.45416,n
0.50427,0.51394,n
0.89183,0.06774,p
0.58648,0.48210,n
0.59905,0.99948,p
0.31673,0.45535,n
0.31885,0.42596,n
0.25501,0.47043,n
0.97557,0.22050,p
0.81665,0.19890,p
0.37209,0.68418,n
0.18199,0.63515,p
0.02344,0.75566,p
0.61533,0.57612,p
0.36637,0.63121,p
0.55960,0.69815,p
0.08047,0.13774,p
0.47377,0.48740,n
0.35634,0.80336,p
0.07845,0.01102,p
0.48851,0.61129,n
0.79403,0.43415,p
0.33795,0.51394,n
0.58196,0.01199,p
0.14354,0.38005,n
0.73374,0.41493,p
0.31974,0.58431,n
0.16297,0.42109,p
0.44488,0.06593,p
0.85170,0.58895,p
0.44123,0.34104,n
0.32572,0.44387,n
0.48571,0.62040,p
0.30084,0.61025,n
0.23792,0.35887,n
0.67687,0.97733,p
0.33364,0.43319,n
0.24016,0.55775,n
0.20925,0.50943,n
0.24096,0.61333,n
0.64006,0.33020,p
0.54378,0.34835,p
0.39171,0.29533,p
0.21910,0.62709,n
0.67914,0.30008,p
0.69807,0.77393,p
0.25114,0.24539,p
0.24270,0.48621,n
0.35498,0.19766,p
0.99697,0.83768,p
0.99175,0.32610,p
0.24007,0.39861,n
0.74348,0.20188,p
0.29136,0.56732,n
0.23232,0.40837,n
0.57436,0.48780,n
0.33734,0.56430,p
0.91171,0.12378,p
0.55442,0.09161,p
0.31601,0.04690,p
0.19293,0.95652,p
0.60287,0.15724,p
0.66188,0.05276,p
0.10232,0.32138,p
0.23376,0.59527,n
0.32117,0.55407,p
0.77861,0.82272,p
0.78240,0.42493,p
0.09197,0.48510,n
0.28368,0.49750,n
0.22706,0.77112,n
0.46319,0.77335,n
0.24488,0.55758,n
0.68858,0.62706,p
0.30348,0.34200,p
0.27909,0.57142,n
0.94782,0.96716,p
0.37250,0.78009,n
0.15772,0.58745,p
0.18261,0.42738,n
0.41277,0.55246,n
0.15413,0.62449,n
0.12087,0.59666,n
0.10733,0.96205,p
0.14738,0.59790,n
0.73665,0.42923,p
0.26232,0.37858,n
0.37456,0.33428,n
0.36319,0.47223,n
0.13829,0.89237,p
0.25446,0.54344,n
0.87612,0.06996,p
0.72505,0.70959,p
0.16305,0.04231,p
0.12783,0.54337,n
0.54131,0.56910,n
0.52256,0.74771,p
0.55026,0.50546,n
0.91648,0.67218,p
0.56542,0.67864,p
0.94750,0.64450,p
0.58986,0.88774,p
0.10655,0.38354,n
0.41176,0.76254,p
0.12140,0.98308,p
0.07780,0.75982,p
